clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Dinophysis_norvegica,Dinophysis norvegica,,109637,TRUE,4000,TRUE
Dinophysis_spp,Dinophysis,spp.,109462,FALSE,,TRUE
Dinophysis_tripos,Dinophysis tripos,,109662,TRUE,,TRUE
Ditylum_brightwellii,Ditylum brightwellii,,149023,FALSE,,TRUE
Dolichospermum_spp_coil,Dolichospermum,spp.,603709,FALSE,,TRUE
Dolichospermum_spp_filament,Dolichospermum,spp.,603709,FALSE,,TRUE
Ebria_tripartita,Ebria tripartita,,118051,FALSE,,TRUE
Echinoderm_larvae,Echinodermata,,1806,FALSE,,FALSE
Ensiculifera_carinata,Ensiculifera carinata,,233835,FALSE,,TRUE
Eucampia,Eucampia,spp.,149130,FALSE,,TRUE
Euglenophyceae,Euglenophyceae,,19539,FALSE,,FALSE
Eutreptiella_braarudii,Eutreptiella braarudii,,248121,FALSE,,TRUE
Eutreptiella_sp,Eutreptiella,sp.,17657,FALSE,,TRUE
Fragilaria,Fragilaria,spp.,149028,FALSE,,TRUE
Gephyrocapsa_huxleyi,Gephyrocapsa huxleyi,,236056,FALSE,,TRUE
Guinardia_delicatula,Guinardia delicatula,,149112,FALSE,,TRUE
Guinardia_flaccida,Guinardia flaccida,,149132,FALSE,,TRUE
Guinardia_striata,Guinardia striata,,149113,FALSE,,TRUE
Gymnodiniales,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_CC,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_CS,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_Eliptical,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_smaller_than_30,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodinium_corollarium,Gymnodinium corollarium,,623645,FALSE,,TRUE
Gyrodinium_heterotropic,Gyrodinium,spp.,109476,FALSE,,TRUE
Gyrosigma_Pleurosigma,Pleurosigmataceae,,149032,FALSE,,FALSE
Heterocapsa_niei-like,Heterocapsa,sp.,109540,FALSE,,TRUE
Heterocapsa_rotundata,Heterocapsa rotundata,,110152,FALSE,,TRUE
Heterocyte,Cyanophyceae,,146542,FALSE,,FALSE
Heterosigma-like,Chattonellaceae,,160583,FALSE,,FALSE
Kapelodinium_vestifici,Kapelodinium vestifici,,1368615,FALSE,,TRUE
Karenia_mikimotoi-like,Karenia,spp.,231788,FALSE,,TRUE
Karenia_spp,Karenia,spp.,231788,FALSE,,TRUE
Katablepharis_remigera,Katablepharis remigera,,627117,FALSE,,TRUE
Katodinium-like,Tovelliaceae,,577245,FALSE,,FALSE
Kryptoperidinium_triquetrum,Kryptoperidinium triquetrum,,1346683,FALSE,,TRUE
Laboea_strobila,Laboea strobila,,101264,FALSE,,TRUE
Lauderia_spp,Lauderia,spp.,149134,FALSE,,TRUE
Lepidodinium-like,Gymnodiniaceae,,109410,FALSE,,FALSE
Leptocylindrus_danicus,Leptocylindrus danicus,,149106,FALSE,,TRUE
Leptocylindrus_danicus_Leptocylindrus_minimus,Leptocylindrus,spp.,149038,FALSE,,TRUE
Licmophora_spp,Licmophora,spp.,149342,FALSE,,TRUE
Lingulaulax_polyedra,Lingulaulax polyedra,,1778370,TRUE,,TRUE
Melosira_arctica,Melosira arctica,,160537,FALSE,,TRUE
Meringosphaera_mediterranea,Meringosphaera mediterranea,,248129,FALSE,,TRUE
Merismopedia_spp,Merismopedia,spp.,146545,FALSE,,TRUE
Mesodinium_major,Mesodinium major,,1476503,FALSE,,TRUE
Mesodinium_rubrum,Mesodinium rubrum,,232069,FALSE,,TRUE
Mesodinium_spp,Mesodinium,spp.,179320,FALSE,,TRUE
Mesodinium_spp2,Mesodinium,spp.,179320,FALSE,,TRUE
Mesodinium_spp3,Mesodinium,spp.,179320,FALSE,,TRUE
Monoraphidium_spp,Monoraphidium,spp.,160590,FALSE,,TRUE
Mussel_larvae,Bivalvia,,105,FALSE,,TRUE
Navicula-like,Naviculaceae,,149031,FALSE,,FALSE
Nitzschia_frigida,Nitzschia frigida,,175400,FALSE,,TRUE
Nitzschia_paleacea,Nitzschia paleacea,,609727,FALSE,,TRUE
Nodularia_spumigena_coil,Nodularia spumigena,,160566,TRUE,,TRUE
Nodularia_spumigena_filament,Nodularia spumigena,,160566,TRUE,,TRUE
Octactis_speculum,Octactis speculum,,1310442,FALSE,,TRUE
Oocystis_spp,Oocystis,spp.,178611,FALSE,,TRUE
Oscillatoriales,Oscillatoriales,,146603,FALSE,,FALSE
Oxytoxum_gracile,Oxytoxum gracile,,233870,FALSE,,TRUE
Paralia_sulcata,Paralia sulcata,,149055,FALSE,,TRUE
Pauliella_taeniata,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata2,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata3,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata4,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata5,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata6,Pauliella taeniata,,163624,FALSE,,TRUE
Pennales_single,Pennales,,1304629,FALSE,,FALSE
Peridiniales,Peridiniales,,109394,FALSE,,FALSE
Peridiniella_catenata_chain,Peridiniella catenata,,110156,FALSE,,TRUE
Peridiniella_catenata_single,Peridiniella catenata,,110156,FALSE,,TRUE
Proboscia_alata,Proboscia alata,,149168,FALSE,,TRUE
Prorocentrum_cordatum,Prorocentrum cordatum,,232376,TRUE,,TRUE
Prorocentrum_micans,Prorocentrum micans,,110303,FALSE,,TRUE
Prorocentrum_micans_Prorocentrum_triestinum_Prorocentrum_gracile,Prorocentrum,spp.,109566,FALSE,,TRUE
Prorocentrum_triestinum,Prorocentrum triestinum,,110316,FALSE,,TRUE
