depth,sample
13,D20160906T220613_IFCB110
13,D20161002T000451_IFCB110
13,D20160830T102758_IFCB110
13,D20161009T213201_IFCB110
13,D20161014T045321_IFCB110
13,D20160913T183628_IFCB110
13,D20161004T020103_IFCB110
13,D20160811T231714_IFCB110
13,D20161001T102455_IFCB110
13,D20160820T010749_IFCB110
13,D20161015T171106_IFCB110
13,D20160926T141904_IFCB110
13,D20160911T004448_IFCB110
13,D20160910T120819_IFCB110
13,D20160911T010826_IFCB110
13,D20160912T165848_IFCB110
13,D20160820T151845_IFCB110
13,D20160820T125655_IFCB110
13,D20161001T031921_IFCB110
13,D20161015T080601_IFCB110
13,D20160911T185335_IFCB110
13,D20160824T041417_IFCB110
13,D20160826T112556_IFCB110
13,D20160910T032817_IFCB110
13,D20160813T080048_IFCB110
13,D20161003T070446_IFCB110
13,D20160812T130602_IFCB110
13,D20160811T231714_IFCB110
13,D20160813T031709_IFCB110
13,D20160820T200331_IFCB110
13,D20160914T145351_IFCB110
13,D20160903T125551_IFCB110
13,D20160910T193729_IFCB110
13,D20160910T081156_IFCB110
13,D20161005T183554_IFCB110
13,D20160904T075043_IFCB110
13,D20160822T002659_IFCB110
13,D20161015T040937_IFCB110
13,D20160815T191950_IFCB110
13,D20160830T102758_IFCB110
13,D20160910T193729_IFCB110
13,D20160903T032727_IFCB110
13,D20160907T170514_IFCB110
13,D20160818T230623_IFCB110
13,D20160910T200107_IFCB110
13,D20160903T200136_IFCB110
13,D20160830T080609_IFCB110
13,D20160812T223330_IFCB110
13,D20160821T145818_IFCB110
13,D20160830T163914_IFCB110
13,D20161007T080126_IFCB110
13,D20161015T043316_IFCB110
13,D20161002T000451_IFCB110
13,D20160911T002109_IFCB110
13,D20160904T004515_IFCB110
13,D20160914T160446_IFCB110
13,D20160911T092615_IFCB110
13,D20160825T233621_IFCB110
13,D20160911T163145_IFCB110
13,D20161015T082939_IFCB110
13,D20161002T200253_IFCB110
13,D20161006T204056_IFCB110
13,D20160911T002109_IFCB110
13,D20160908T000938_IFCB110
13,D20160912T024750_IFCB110
13,D20160819T224600_IFCB110
13,D20160913T161433_IFCB110
13,D20161009T120444_IFCB110
13,D20160825T162946_IFCB110
13,D20160827T121644_IFCB110
13,D20160911T070425_IFCB110
13,D20160821T075250_IFCB110
13,D20160912T073129_IFCB110
13,D20160819T131718_IFCB110
13,D20161006T110853_IFCB110
13,D20160910T235731_IFCB110
13,D20161011T041829_IFCB110
13,D20160826T015828_IFCB110
13,D20161013T170339_IFCB110
13,D20160912T073129_IFCB110
13,D20161010T184941_IFCB110
13,D20160912T024750_IFCB110
13,D20160911T211525_IFCB110
13,D20160903T151758_IFCB110
13,D20160908T164235_IFCB110
13,D20161007T053931_IFCB110
13,D20160826T064206_IFCB110
13,D20161015T080601_IFCB110
13,D20161015T052032_IFCB110
13,D20161003T141139_IFCB110
13,D20161005T020136_IFCB110
13,D20160910T140631_IFCB110
13,D20160926T141904_IFCB110
13,D20160910T165200_IFCB110
13,D20161003T211713_IFCB110
13,D20161004T163407_IFCB110
13,D20161008T100256_IFCB110
13,D20161013T192540_IFCB110
13,D20160829T005600_IFCB110
13,D20160910T081156_IFCB110
13,D20160821T075250_IFCB110
13,D20160828T130707_IFCB110
13,D20161009T120444_IFCB110
13,D20160910T213541_IFCB110
13,D20160913T161433_IFCB110
13,D20161011T041829_IFCB110
13,D20160902T083127_IFCB110
13,D20160903T173947_IFCB110
13,D20160910T165200_IFCB110
13,D20161007T005552_IFCB110
13,D20160902T131630_IFCB110
13,D20160913T021243_IFCB110
13,D20161016T165050_IFCB110
13,D20160812T082059_IFCB110
13,D20160830T234443_IFCB110
13,D20160905T222627_IFCB110
13,D20160828T104518_IFCB110
13,D20160831T135709_IFCB110
13,D20160902T180009_IFCB110
13,D20161002T200253_IFCB110
13,D20161003T044256_IFCB110
13,D20160828T104518_IFCB110
13,D20160812T104413_IFCB110
13,D20161007T005552_IFCB110
13,D20161015T065506_IFCB110
13,D20161014T045321_IFCB110
13,D20161009T213201_IFCB110
13,D20161007T102315_IFCB110
13,D20160825T092402_IFCB110
13,D20160821T220510_IFCB110
13,D20160819T105529_IFCB110
13,D20161010T070029_IFCB110
13,D20160813T053859_IFCB110
13,D20160825T070212_IFCB110
13,D20160830T141725_IFCB110
13,D20161008T003538_IFCB110
13,D20160828T152856_IFCB110
13,D20161010T021651_IFCB110
13,D20161004T020103_IFCB110
13,D20160910T224636_IFCB110
13,D20161006T204056_IFCB110
13,D20160911T010826_IFCB110
13,D20161006T204056_IFCB110
13,D20161013T192540_IFCB110
13,D20161014T115851_IFCB110
13,D20160913T183628_IFCB110
13,D20160821T004722_IFCB110
13,D20161003T163328_IFCB110
13,D20161008T003538_IFCB110
13,D20160820T010749_IFCB110
13,D20160906T004817_IFCB110
13,D20160824T015227_IFCB110
13,D20160821T145818_IFCB110
13,D20160913T010147_IFCB110
13,D20160819T224600_IFCB110
13,D20161014T071511_IFCB110
13,D20161005T135214_IFCB110
13,D20160828T175046_IFCB110
13,D20160903T054916_IFCB110
13,D20161011T064018_IFCB110
13,D20160815T191950_IFCB110
13,D20160904T052854_IFCB110
13,D20160901T040811_IFCB110
13,D20160822T051037_IFCB110
13,D20160829T170632_IFCB110
13,D20160822T051037_IFCB110
13,D20161015T091655_IFCB110
13,D20160827T143833_IFCB110
13,D20161004T042253_IFCB110
13,D20161006T181906_IFCB110
13,D20161015T215452_IFCB110
13,D20161009T100627_IFCB110
13,D20160822T073232_IFCB110
13,D20160828T130707_IFCB110
13,D20160910T231014_IFCB110
13,D20160813T005520_IFCB110
13,D20161010T184941_IFCB110
13,D20161015T144752_IFCB110
13,D20160901T204220_IFCB110
13,D20161002T000451_IFCB110
13,D20160903T125551_IFCB110
13,D20161011T200359_IFCB110
13,D20161007T195034_IFCB110
13,D20160912T095319_IFCB110
13,D20160908T190433_IFCB110
13,D20160901T014621_IFCB110
13,D20160930T175152_IFCB110
13,D20161009T191011_IFCB110
13,D20161015T094034_IFCB110
13,D20160906T101535_IFCB110
13,D20160913T010147_IFCB110
13,D20160903T200136_IFCB110
13,D20160901T014621_IFCB110
13,D20160911T140955_IFCB110
13,D20161014T093701_IFCB110
13,D20161001T031921_IFCB110
13,D20161008T003538_IFCB110
13,D20161006T133527_IFCB110
13,D20160904T004515_IFCB110
13,D20160820T174034_IFCB110
13,D20161001T150801_IFCB110
13,D20160826T112556_IFCB110
13,D20160826T064206_IFCB110
13,D20160901T182031_IFCB110
13,D20161002T093222_IFCB110
13,D20160911T185335_IFCB110
13,D20160909T134436_IFCB110
13,D20161009T164822_IFCB110
13,D20160825T140751_IFCB110
13,D20160901T111339_IFCB110
13,D20160828T223425_IFCB110
13,D20160903T010537_IFCB110
13,D20161007T124505_IFCB110
13,D20161004T141218_IFCB110
13,D20160830T054420_IFCB110
13,D20160830T190105_IFCB110
13,D20160910T204824_IFCB110
13,D20160831T065017_IFCB110
13,D20160828T033950_IFCB110
13,D20161009T120444_IFCB110
13,D20160912T165848_IFCB110
13,D20161005T112900_IFCB110
13,D20160828T082328_IFCB110
13,D20161002T151908_IFCB110
13,D20160908T071508_IFCB110
13,D20160910T193729_IFCB110
13,D20160826T194224_IFCB110
13,D20161004T020103_IFCB110
13,D20161011T222549_IFCB110
13,D20161008T122446_IFCB110
13,D20160829T005600_IFCB110
13,D20160826T220413_IFCB110
13,D20160820T081317_IFCB110
13,D20160910T213541_IFCB110
13,D20160822T024848_IFCB110
13,D20160902T131630_IFCB110
13,D20160831T020633_IFCB110
